brand,model,year,price,mileage,fuel_type,transmission,engine_size,car_type,seats,rating,city,source
Tata,Punch EV,2024,1019943,3394,Electric,Automatic,0.0,Sedan,5,3.6,Bhavnagar,gujarat
Mahindra,XUV300,2018,871852,74370,Petrol,Automatic,1.0,Sedan,5,4.6,Jamnagar,gujarat
Hyundai,Verna,2023,1102430,10666,Petrol,Automatic,1.5,Sedan,5,4.9,Vadodara,gujarat
Maruti Suzuki,Brezza,2016,416304,99054,Petrol,Manual,1.2,Sedan,5,3.9,Jamnagar,gujarat
BMW,3 Series,2013,231083,156209,Petrol,Manual,1.0,Sedan,4,3.2,Surat,gujarat
Kia,Sonet,2023,1218507,11383,Petrol,Manual,1.5,Sedan,5,4.5,Ahmedabad,gujarat
Tata,Punch,2022,942020,24122,Diesel,Manual,1.2,Sedan,5,3.7,Ahmedabad,gujarat
BMW,3 Series,2018,626253,30808,Petrol,Automatic,1.5,Sedan,4,4.8,Surat,gujarat
BMW,3 Series,2022,827216,22475,Petrol,Manual,1.2,Sedan,4,3.3,Surat,gujarat
Kia,Carens,2023,1243469,9911,Diesel,Manual,2.0,MPV,7,4.3,Bhavnagar,gujarat
BMW,3 Series,2019,653758,32010,Petrol,Automatic,1.2,Sedan,4,4.7,Rajkot,gujarat
Toyota,Urban Cruiser,2023,1261332,12055,CNG,Manual,2.0,Sedan,5,4.9,Surat,gujarat
Ford,Endeavour,2014,2287830,102198,Diesel,Manual,2.0,SUV,5,3.7,Vadodara,gujarat
Kia,Carens,2022,1119188,28476,Diesel,Manual,2.0,MPV,7,3.1,Jamnagar,gujarat
Ford,Figo,2015,333185,102469,Diesel,Manual,1.2,Sedan,5,4.3,Surat,gujarat
Mercedes,C-Class,2015,430332,78119,Petrol,Manual,1.2,Sedan,4,3.1,Bhavnagar,gujarat
Ford,Figo,2018,586402,65020,CNG,Automatic,1.2,Sedan,5,4.1,Gandhinagar,gujarat
Toyota,Camry,2021,1039138,35911,Hybrid,Manual,2.5,Sedan,5,4.3,Ahmedabad,gujarat
BMW,3 Series,2024,995420,5432,Petrol,Manual,1.0,Sedan,4,4.0,Bhavnagar,gujarat
Renault,Triber,2023,899971,14424,Petrol,Manual,1.5,MPV,7,4.2,Bhavnagar,gujarat
Tata,Punch EV,2024,947703,7909,Electric,Automatic,0.0,Sedan,5,3.2,Jamnagar,gujarat
Tata,Punch EV,2024,998681,5620,Electric,Manual,0.0,Sedan,5,4.0,Rajkot,gujarat
Ford,Endeavour,2013,2216856,94356,Diesel,Manual,2.0,SUV,5,4.4,Surat,gujarat
Mahindra,XUV300,2014,525989,122339,Petrol,Manual,1.2,Sedan,5,3.5,Rajkot,gujarat
Mercedes,C-Class,2014,268154,133948,Petrol,Manual,1.5,Sedan,4,4.8,Rajkot,gujarat
BMW,3 Series,2018,681371,30291,Petrol,Manual,1.5,Sedan,4,4.6,Ahmedabad,gujarat
BMW,3 Series,2024,956505,8796,Petrol,Manual,1.0,Sedan,4,3.5,Gandhinagar,gujarat
Ford,Figo,2022,887246,20269,Petrol,Manual,1.0,Sedan,5,3.7,Gandhinagar,gujarat
Ford,Figo,2014,265535,138288,Diesel,Automatic,1.5,Sedan,5,3.2,Surat,gujarat
Toyota,Innova Crysta,2015,1991936,85026,Diesel,Manual,2.4,MPV,7,4.1,Rajkot,gujarat
Tata,Curvv EV,2024,953871,9091,Electric,Manual,0.0,SUV,5,4.7,Bhavnagar,gujarat
Maruti Suzuki,Ertiga,2017,590518,36256,Petrol,Automatic,1.5,MPV,7,4.0,Rajkot,gujarat
Kia,Carnival,2018,855176,76539,Petrol,Manual,1.0,MPV,8,4.6,Surat,gujarat
Honda,City,2016,1202692,69470,Petrol,Manual,1.5,Sedan,5,4.1,Vadodara,gujarat
Renault,Kiger,2020,804615,22726,Diesel,Manual,1.2,Sedan,5,3.2,Gandhinagar,gujarat
Mercedes,C-Class,2016,520947,44224,Petrol,Automatic,1.0,Sedan,4,3.9,Ahmedabad,gujarat
Mahindra,Thar,2024,1939905,5744,Diesel,Manual,2.0,SUV,5,4.6,Bhavnagar,gujarat
Toyota,Camry,2016,684617,118231,Hybrid,Automatic,2.5,Sedan,5,4.1,Gandhinagar,gujarat
Renault,Triber,2013,352316,72771,Diesel,Automatic,1.2,MPV,7,4.7,Surat,gujarat
Tata,Harrier,2020,2198462,41108,Diesel,Manual,2.0,Sedan,5,4.3,Rajkot,gujarat
Ford,EcoSport,2022,876802,13050,Diesel,Manual,1.2,Sedan,5,3.9,Rajkot,gujarat
Toyota,Camry,2012,398039,173889,Hybrid,Automatic,2.5,Sedan,5,4.7,Gandhinagar,gujarat
Renault,Kiger,2015,324767,101314,Petrol,Manual,1.2,Sedan,5,3.7,Bhavnagar,gujarat
Tata,Tiago EV,2023,968463,10631,Electric,Manual,0.0,Hatchback,5,4.6,Rajkot,gujarat
Maruti Suzuki,Swift,2014,600354,107840,CNG,Manual,1.2,Hatchback,5,4.8,Vadodara,gujarat
Tata,Safari,2021,1762552,36449,Diesel,Manual,2.0,Sedan,7,3.8,Vadodara,gujarat
Mahindra,Bolero,2022,1216235,12988,Petrol,Manual,1.5,Sedan,5,4.2,Bhavnagar,gujarat
Mercedes,C-Class,2012,319173,61056,Petrol,Manual,1.2,Sedan,4,4.4,Rajkot,gujarat
Hyundai,Creta,2021,1107402,17927,Petrol,Manual,1.5,SUV,5,4.5,Gandhinagar,gujarat
Tata,Tigor EV,2022,895534,12241,Electric,Manual,0.0,Sedan,5,3.9,Jamnagar,gujarat
Mahindra,Scorpio N,2023,1238963,7480,Diesel,Manual,2.0,SUV,5,3.3,Ahmedabad,gujarat
BMW,3 Series,2017,458222,91280,Diesel,Manual,1.5,Sedan,4,3.2,Bhavnagar,gujarat
BMW,3 Series,2024,1035298,439,Diesel,Manual,2.0,Sedan,4,3.4,Rajkot,gujarat
Honda,Elevate,2023,946865,8921,Petrol,Manual,1.5,Sedan,5,4.2,Bhavnagar,gujarat
Maruti Suzuki,Wagon R,2017,847995,52299,Petrol,Manual,1.2,Sedan,5,4.9,Gandhinagar,gujarat
Hyundai,i20,2021,937460,17212,Petrol,Automatic,1.2,Hatchback,5,4.3,Bhavnagar,gujarat
Kia,Carnival,2023,1187803,11590,Diesel,Manual,1.6,MPV,8,3.2,Ahmedabad,gujarat
Renault,Kwid,2024,485655,2545,Petrol,Manual,1.0,Hatchback,4,3.6,Rajkot,gujarat
Mahindra,Scorpio,2015,743948,56300,Petrol,Manual,2.2,SUV,5,4.3,Jamnagar,gujarat
Tata,Punch,2021,655950,38196,Petrol,Automatic,1.2,Sedan,5,3.3,Surat,gujarat
Honda,Elevate,2023,932910,5480,Diesel,Manual,1.0,Sedan,5,3.5,Bhavnagar,gujarat
Mercedes,C-Class,2019,656949,54831,Petrol,Manual,1.5,Sedan,4,3.3,Surat,gujarat
Honda,City,2021,1020936,37089,Petrol,Manual,1.5,Sedan,5,3.1,Vadodara,gujarat
Kia,Sonet,2014,713465,54635,Diesel,Automatic,1.5,Sedan,5,3.4,Surat,gujarat
Kia,Carens,2023,1261912,6276,Petrol,Manual,1.5,MPV,7,3.4,Bhavnagar,gujarat
Maruti Suzuki,Alto,2013,431447,115960,Petrol,Manual,1.0,Hatchback,4,3.4,Bhavnagar,gujarat
Honda,Elevate,2023,923270,12600,Diesel,Manual,1.0,Sedan,5,4.5,Bhavnagar,gujarat
Mahindra,Thar,2020,1544315,46872,Diesel,Manual,2.2,SUV,5,3.0,Jamnagar,gujarat
Kia,Carens,2022,1186443,16723,CNG,Manual,1.5,MPV,7,4.4,Ahmedabad,gujarat
Maruti Suzuki,Baleno,2020,895293,47070,Petrol,Automatic,1.2,Sedan,5,4.0,Jamnagar,gujarat
Kia,Seltos,2023,1179163,14303,Petrol,Automatic,1.5,Sedan,5,4.7,Gandhinagar,gujarat
Kia,Carens,2023,1210645,12417,Petrol,Automatic,2.0,MPV,7,3.2,Ahmedabad,gujarat
Tata,Curvv EV,2024,993282,5145,Electric,Manual,0.0,SUV,5,3.9,Rajkot,gujarat
Honda,City,2013,1218992,75658,Diesel,Manual,1.5,Sedan,5,3.3,Jamnagar,gujarat
Mahindra,XUV700,2024,1926714,8412,Petrol,Automatic,2.2,SUV,7,4.1,Bhavnagar,gujarat
Mahindra,Scorpio,2019,955322,31678,Petrol,Manual,2.2,SUV,5,3.4,Rajkot,gujarat
Toyota,Innova Crysta,2021,2761993,34205,Diesel,Manual,2.4,MPV,7,4.6,Ahmedabad,gujarat
Toyota,Innova Crysta,2012,1976149,120423,Diesel,Manual,2.4,MPV,7,3.1,Jamnagar,gujarat
Kia,Sonet,2017,798530,63143,Petrol,Manual,1.0,Sedan,5,4.2,Bhavnagar,gujarat
Mahindra,Scorpio N,2016,693000,105390,Diesel,Manual,2.2,SUV,5,3.8,Rajkot,gujarat
Mahindra,Scorpio N,2024,1265656,8614,Diesel,Automatic,2.2,SUV,5,4.0,Gandhinagar,gujarat
Ford,Endeavour,2021,2779153,31462,Diesel,Manual,2.0,SUV,5,3.1,Gandhinagar,gujarat
Honda,City,2024,1274795,7728,Diesel,Automatic,1.5,Sedan,5,4.3,Vadodara,gujarat
Renault,Triber,2012,178758,160145,Diesel,Automatic,1.2,MPV,7,3.7,Gandhinagar,gujarat
Tata,Tiago,2015,711343,122662,Diesel,Manual,1.2,Hatchback,5,4.4,Vadodara,gujarat
BMW,3 Series,2021,822517,21168,Diesel,Manual,1.0,Sedan,4,3.2,Surat,gujarat
BMW,3 Series,2012,212650,129002,Petrol,Automatic,1.0,Sedan,4,4.6,Vadodara,gujarat
Tata,Punch EV,2024,968360,359,Electric,Automatic,0.0,Sedan,5,4.7,Gandhinagar,gujarat
Toyota,Innova Crysta,2017,1905939,86851,Diesel,Manual,2.4,MPV,7,4.6,Rajkot,gujarat
Mercedes,C-Class,2014,238659,142691,Diesel,Automatic,1.2,Sedan,4,3.4,Bhavnagar,gujarat
Tata,Curvv,2024,956691,4825,Petrol,Manual,1.5,SUV,5,4.9,Rajkot,gujarat
BMW,3 Series,2014,233709,128956,CNG,Automatic,1.0,Sedan,4,4.3,Ahmedabad,gujarat
Ford,EcoSport,2017,541194,45198,Petrol,Manual,1.5,Sedan,5,4.8,Ahmedabad,gujarat
Mercedes,C-Class,2019,683761,25746,Petrol,Manual,1.2,Sedan,4,3.5,Ahmedabad,gujarat
Maruti Suzuki,Swift,2018,820019,58719,CNG,Automatic,1.2,Hatchback,5,3.7,Rajkot,gujarat
Hyundai,Grand i10,2024,1016323,9470,Diesel,Manual,1.5,Sedan,5,4.6,Ahmedabad,gujarat
Honda,City,2017,977804,69226,Petrol,Automatic,1.5,Sedan,5,4.1,Ahmedabad,gujarat
Toyota,Camry,2021,1074273,44269,Hybrid,Manual,2.5,Sedan,5,3.3,Ahmedabad,gujarat
Toyota,Fortuner,2015,4162057,98645,Diesel,Automatic,2.8,SUV,7,3.6,Ahmedabad,gujarat
Maruti Suzuki,Alto,2021,390262,33011,Petrol,Manual,1.0,Hatchback,4,4.6,Jamnagar,gujarat
BMW,3 Series,2015,388373,57712,Petrol,Manual,1.0,Sedan,4,3.9,Ahmedabad,gujarat
Honda,Amaze,2019,888938,57053,Petrol,Manual,1.5,Sedan,5,4.8,Vadodara,gujarat
Tata,Curvv EV,2024,998637,4313,Electric,Manual,0.0,SUV,5,4.1,Surat,gujarat
Mercedes,C-Class,2013,195061,142574,Diesel,Manual,1.5,Sedan,4,3.5,Ahmedabad,gujarat
Kia,Carnival,2020,1023066,51118,Diesel,Manual,1.6,MPV,8,4.8,Jamnagar,gujarat
Maruti Suzuki,Dzire,2021,949622,44506,Diesel,Manual,1.2,Sedan,5,3.3,Surat,gujarat
Mahindra,Thar,2021,1382175,16398,CNG,Manual,2.2,SUV,5,3.6,Jamnagar,gujarat
Hyundai,i20,2018,1089435,66461,Petrol,Manual,1.2,Hatchback,5,3.2,Surat,gujarat
Tata,Tiago EV,2024,1030402,9546,Electric,Manual,0.0,Hatchback,5,4.6,Gandhinagar,gujarat
Honda,Elevate,2024,971620,6732,Petrol,Manual,1.5,Sedan,5,3.9,Surat,gujarat
Honda,Amaze,2014,960616,131034,Petrol,Automatic,1.2,Sedan,5,3.1,Rajkot,gujarat
Honda,Amaze,2012,913026,104284,Petrol,Manual,1.2,Sedan,5,4.9,Surat,gujarat
Tata,Safari,2024,2264201,5257,Diesel,Manual,2.0,Sedan,7,4.8,Rajkot,gujarat
Ford,Figo,2017,582537,42367,Diesel,Manual,1.5,Sedan,5,4.0,Surat,gujarat
Renault,Triber,2012,209265,82772,Diesel,Manual,1.0,MPV,7,3.5,Rajkot,gujarat
Maruti Suzuki,Wagon R,2023,743122,8262,Diesel,Manual,1.2,Sedan,5,4.4,Surat,gujarat
Toyota,Urban Cruiser,2024,1306204,2909,Diesel,Manual,1.6,Sedan,5,4.5,Jamnagar,gujarat
Hyundai,Venue,2019,985410,50333,Diesel,Automatic,1.0,Sedan,5,4.3,Jamnagar,gujarat
Mahindra,XUV700,2024,1318660,8409,Petrol,Manual,2.0,SUV,7,3.4,Bhavnagar,gujarat
Honda,Elevate,2024,985345,6943,Diesel,Manual,1.0,Sedan,5,3.9,Jamnagar,gujarat
Renault,Triber,2018,526410,68304,Petrol,Automatic,1.2,MPV,7,4.1,Bhavnagar,gujarat
BMW,3 Series,2016,505142,54169,Petrol,Automatic,1.5,Sedan,4,3.7,Vadodara,gujarat
Honda,Elevate,2024,963651,3086,Diesel,Manual,1.0,Sedan,5,4.6,Gandhinagar,gujarat
BMW,3 Series,2022,898228,20472,Petrol,Manual,1.2,Sedan,4,5.0,Vadodara,gujarat
Kia,Carnival,2018,797629,78282,Diesel,Automatic,1.0,MPV,8,3.7,Jamnagar,gujarat
Mahindra,Scorpio N,2020,1036063,51177,Petrol,Manual,2.0,SUV,5,3.6,Rajkot,gujarat
Tata,Safari,2022,1593637,20998,Diesel,Manual,2.0,Sedan,7,3.7,Bhavnagar,gujarat
Honda,Amaze,2013,1082606,116674,Diesel,Automatic,1.2,Sedan,5,4.0,Gandhinagar,gujarat
Mercedes,C-Class,2020,725146,39553,Petrol,Automatic,1.0,Sedan,4,5.0,Vadodara,gujarat
Kia,Carnival,2014,660804,91469,Petrol,Manual,1.2,MPV,8,4.3,Surat,gujarat
Toyota,Innova Crysta,2012,2019553,119251,Diesel,Manual,2.4,MPV,7,3.3,Rajkot,gujarat
Mercedes,C-Class,2018,596573,58116,Petrol,Manual,1.0,Sedan,4,4.5,Ahmedabad,gujarat
Toyota,Camry,2015,793702,47348,Hybrid,Automatic,2.5,Sedan,5,3.6,Ahmedabad,gujarat
Kia,Carens,2022,1131992,12139,Petrol,Manual,2.0,MPV,7,4.2,Vadodara,gujarat
Kia,Sonet,2017,749087,99248,Diesel,Manual,1.0,Sedan,5,3.5,Jamnagar,gujarat
Tata,Harrier,2024,1929146,359,Diesel,Manual,2.0,Sedan,5,4.8,Vadodara,gujarat
Renault,Triber,2012,156286,137846,Diesel,Manual,1.0,MPV,7,3.1,Ahmedabad,gujarat
Kia,Carnival,2018,945733,38099,Petrol,Automatic,1.0,MPV,8,4.4,Jamnagar,gujarat
Maruti Suzuki,Wagon R,2018,822791,73362,Petrol,Manual,1.2,Sedan,5,4.7,Ahmedabad,gujarat
Renault,Triber,2021,799054,18857,Petrol,Manual,1.0,MPV,7,4.2,Gandhinagar,gujarat
Honda,Elevate,2023,970200,10864,Petrol,Manual,1.5,Sedan,5,4.0,Surat,gujarat
Ford,Endeavour,2015,2410671,45358,Diesel,Automatic,2.0,SUV,5,3.3,Ahmedabad,gujarat
Renault,Kwid,2023,568909,6659,Petrol,Automatic,1.0,Hatchback,4,3.9,Ahmedabad,gujarat
Tata,Nexon,2021,1177897,26803,Petrol,Manual,1.2,SUV,5,4.3,Surat,gujarat
Toyota,Glanza,2022,1208084,18791,Petrol,Automatic,1.5,Sedan,5,3.8,Rajkot,gujarat
Honda,Amaze,2023,1090182,12835,Diesel,Manual,1.2,Sedan,5,5.0,Gandhinagar,gujarat
Tata,Punch,2024,948290,9678,Diesel,Manual,1.2,Sedan,5,4.2,Gandhinagar,gujarat
Mercedes,C-Class,2019,600802,56989,Diesel,Manual,1.0,Sedan,4,3.5,Vadodara,gujarat
Maruti Suzuki,Brezza,2022,893468,27197,Diesel,Manual,1.5,Sedan,5,4.7,Bhavnagar,gujarat
Renault,Triber,2023,943734,6560,Diesel,Manual,1.2,MPV,7,4.3,Jamnagar,gujarat
Kia,Sonet,2020,1004526,23576,Diesel,Manual,1.0,Sedan,5,3.1,Rajkot,gujarat
Toyota,Fortuner,2017,4063107,71458,Diesel,Manual,2.8,SUV,7,3.9,Gandhinagar,gujarat
BMW,3 Series,2013,217598,120333,Petrol,Automatic,1.5,Sedan,4,4.3,Ahmedabad,gujarat
Kia,Carnival,2012,455971,133024,Petrol,Manual,1.5,MPV,8,4.9,Jamnagar,gujarat
Honda,Elevate,2023,919676,12474,Petrol,Manual,1.0,Sedan,5,4.7,Vadodara,gujarat
Renault,Triber,2021,832933,30503,Diesel,Automatic,1.0,MPV,7,3.2,Jamnagar,gujarat
Mahindra,Scorpio,2017,820055,81548,CNG,Manual,2.2,SUV,5,4.4,Ahmedabad,gujarat
Tata,Curvv EV,2024,951019,6704,Electric,Manual,0.0,SUV,5,4.9,Rajkot,gujarat
Mahindra,Bolero,2024,1337950,3122,Petrol,Automatic,2.0,Sedan,5,4.7,Bhavnagar,gujarat
Hyundai,Grand i10,2019,641242,68152,CNG,Manual,1.2,Sedan,5,3.0,Jamnagar,gujarat
Maruti Suzuki,Dzire,2018,903195,84972,CNG,Automatic,1.2,Sedan,5,4.5,Surat,gujarat
Hyundai,Grand i10,2022,870450,29678,Diesel,Manual,1.2,Sedan,5,3.8,Bhavnagar,gujarat
Mahindra,XUV700,2024,2249686,5617,Diesel,Manual,2.2,SUV,7,4.7,Bhavnagar,gujarat
Toyota,Camry,2022,1142330,17121,Hybrid,Automatic,2.5,Sedan,5,5.0,Jamnagar,gujarat
Tata,Nexon EV,2024,1032107,5281,Electric,Manual,0.0,SUV,5,4.1,Jamnagar,gujarat
Kia,Carens,2023,1258515,5209,Petrol,Manual,2.0,MPV,7,3.1,Vadodara,gujarat
Tata,Safari,2023,2224141,7399,Diesel,Manual,2.0,Sedan,7,4.6,Ahmedabad,gujarat
BMW,3 Series,2023,922972,14195,Petrol,Automatic,1.5,Sedan,4,3.6,Jamnagar,gujarat
Maruti Suzuki,Alto,2018,431960,57300,CNG,Manual,1.0,Hatchback,4,3.4,Gandhinagar,gujarat
Ford,EcoSport,2022,904973,22050,Diesel,Automatic,1.0,Sedan,5,4.6,Surat,gujarat
Honda,Amaze,2014,848029,139477,CNG,Automatic,1.5,Sedan,5,3.1,Vadodara,gujarat
Renault,Kiger,2014,384544,71093,Diesel,Manual,1.2,Sedan,5,4.4,Surat,gujarat
Maruti Suzuki,Baleno,2017,857891,41665,Petrol,Manual,1.2,Sedan,5,4.6,Vadodara,gujarat
Renault,Kwid,2014,532419,118236,Petrol,Manual,1.0,Hatchback,4,3.7,Surat,gujarat
Mercedes,C-Class,2017,473479,82290,Petrol,Automatic,1.5,Sedan,4,3.9,Bhavnagar,gujarat
Mercedes,C-Class,2013,195351,142679,Petrol,Automatic,1.5,Sedan,4,4.8,Surat,gujarat
Maruti Suzuki,Brezza,2017,444860,84987,Petrol,Manual,1.2,Sedan,5,3.0,Bhavnagar,gujarat
Toyota,Camry,2024,1291400,8335,Hybrid,Manual,2.5,Sedan,5,4.0,Ahmedabad,gujarat
Tata,Nexon EV,2024,1032173,120,Electric,Manual,0.0,SUV,5,3.8,Ahmedabad,gujarat
Mahindra,XUV300,2023,1260746,12130,Diesel,Manual,1.5,Sedan,5,3.0,Jamnagar,gujarat
Toyota,Innova Crysta,2013,1986638,64600,Diesel,Manual,2.4,MPV,7,3.8,Rajkot,gujarat
Mercedes,C-Class,2018,551213,50735,Petrol,Manual,1.0,Sedan,4,4.3,Bhavnagar,gujarat
Hyundai,Exter,2023,934884,6189,CNG,Manual,1.5,Sedan,5,3.6,Ahmedabad,gujarat
Honda,Amaze,2018,766158,55894,Petrol,Manual,1.5,Sedan,5,4.6,Gandhinagar,gujarat
Renault,Kiger,2022,860066,14721,Diesel,Automatic,1.5,Sedan,5,4.3,Ahmedabad,gujarat
Renault,Triber,2014,323475,66152,Petrol,Manual,1.5,MPV,7,4.1,Ahmedabad,gujarat
Honda,City,2023,1332699,10633,CNG,Automatic,1.5,Sedan,5,3.4,Gandhinagar,gujarat
Honda,City,2013,1494849,78770,Diesel,Automatic,1.5,Sedan,5,3.6,Ahmedabad,gujarat
Honda,City,2015,1246922,121099,Petrol,Manual,1.5,Sedan,5,4.2,Surat,gujarat
Toyota,Urban Cruiser,2024,1319785,5379,Diesel,Manual,2.0,Sedan,5,4.1,Gandhinagar,gujarat
Toyota,Urban Cruiser,2022,1171053,10158,Petrol,Manual,2.0,Sedan,5,3.9,Gandhinagar,gujarat
Toyota,Fortuner,2022,3970663,20864,Diesel,Automatic,2.8,SUV,7,3.4,Bhavnagar,gujarat
Hyundai,Venue,2020,1038010,55298,Diesel,Manual,1.0,Sedan,5,4.7,Jamnagar,gujarat
Maruti Suzuki,Ertiga,2021,785101,33969,Diesel,Manual,1.0,MPV,7,4.1,Bhavnagar,gujarat
Renault,Kiger,2022,867948,14870,Petrol,Automatic,1.5,Sedan,5,4.5,Vadodara,gujarat
Tata,Curvv EV,2024,984692,6500,Electric,Manual,0.0,SUV,5,4.4,Gandhinagar,gujarat
Renault,Kwid,2019,548467,35434,CNG,Manual,1.0,Hatchback,4,4.9,Ahmedabad,gujarat
Mahindra,Bolero,2015,728649,53239,Petrol,Manual,1.0,Sedan,5,4.0,Gandhinagar,gujarat
Toyota,Urban Cruiser,2024,1241086,7448,Petrol,Manual,2.0,Sedan,5,4.9,Jamnagar,gujarat
Honda,Elevate,2024,1002349,9480,Diesel,Manual,1.6,Sedan,5,4.2,Gandhinagar,gujarat
Hyundai,Verna,2016,1541455,89326,Petrol,Automatic,1.5,Sedan,5,4.8,Ahmedabad,gujarat
Renault,Kwid,2019,420208,35853,Diesel,Manual,1.0,Hatchback,4,3.3,Bhavnagar,gujarat
Hyundai,Exter,2023,919283,11793,Diesel,Manual,1.2,Sedan,5,4.0,Bhavnagar,gujarat
Tata,Tigor EV,2024,980938,367,Electric,Manual,0.0,Sedan,5,3.3,Bhavnagar,gujarat
Maruti Suzuki,Dzire,2014,785402,57328,CNG,Manual,1.2,Sedan,5,4.8,Jamnagar,gujarat
Mercedes,C-Class,2013,291877,83389,Diesel,Manual,1.2,Sedan,4,3.3,Gandhinagar,gujarat
Kia,Sonet,2024,1254839,9546,Diesel,Manual,1.5,Sedan,5,4.8,Bhavnagar,gujarat
BMW,3 Series,2015,361523,94572,Petrol,Manual,1.5,Sedan,4,4.7,Bhavnagar,gujarat
Mercedes,C-Class,2014,203622,129365,Petrol,Automatic,1.5,Sedan,4,3.1,Gandhinagar,gujarat
Renault,Triber,2024,958214,1925,Petrol,Manual,1.5,MPV,7,4.1,Ahmedabad,gujarat
Mercedes,C-Class,2020,703546,47569,Diesel,Manual,1.2,Sedan,4,3.5,Gandhinagar,gujarat
Ford,Endeavour,2017,2559769,47807,Diesel,Manual,2.0,SUV,5,4.2,Bhavnagar,gujarat
Kia,Carens,2022,1222949,10179,Diesel,Manual,1.5,MPV,7,4.0,Rajkot,gujarat
Mercedes,C-Class,2023,933588,10175,Petrol,Manual,1.5,Sedan,4,4.2,Vadodara,gujarat
Renault,Kiger,2021,826200,26981,Petrol,Manual,1.0,Sedan,5,3.8,Gandhinagar,gujarat
Renault,Kiger,2014,326281,98524,Diesel,Manual,1.2,Sedan,5,4.2,Gandhinagar,gujarat
Kia,Sonet,2022,1220017,13902,Petrol,Automatic,1.0,Sedan,5,4.0,Gandhinagar,gujarat
Toyota,Camry,2021,1113727,37841,Hybrid,Manual,2.5,Sedan,5,4.6,Rajkot,gujarat
BMW,3 Series,2013,307483,63399,Petrol,Manual,1.0,Sedan,4,4.4,Rajkot,gujarat
BMW,3 Series,2023,877531,14788,CNG,Automatic,1.5,Sedan,4,4.0,Ahmedabad,gujarat
Mahindra,Scorpio N,2024,1270487,8489,Petrol,Automatic,2.0,SUV,5,4.2,Jamnagar,gujarat
Maruti Suzuki,Wagon R,2015,632546,130854,Petrol,Manual,1.2,Sedan,5,4.3,Rajkot,gujarat
BMW,3 Series,2020,804590,21007,Diesel,Automatic,1.5,Sedan,4,3.6,Gandhinagar,gujarat
Renault,Triber,2017,475242,80544,Petrol,Automatic,1.2,MPV,7,4.9,Bhavnagar,gujarat
Maruti Suzuki,Wagon R,2014,605818,103363,Diesel,Manual,1.2,Sedan,5,4.6,Vadodara,gujarat
Renault,Triber,2016,403424,98034,Diesel,Automatic,1.2,MPV,7,4.9,Rajkot,gujarat
Mercedes,C-Class,2021,717584,43246,Petrol,Manual,1.2,Sedan,4,4.3,Surat,gujarat
Mercedes,C-Class,2024,994057,5172,CNG,Manual,1.0,Sedan,4,4.4,Vadodara,gujarat
Mahindra,XUV700,2021,2017211,28072,Petrol,Automatic,2.2,SUV,7,3.4,Bhavnagar,gujarat
Honda,City,2023,1109365,8115,Petrol,Manual,1.5,Sedan,5,3.4,Surat,gujarat
BMW,3 Series,2014,337712,63983,CNG,Manual,1.5,Sedan,4,4.0,Ahmedabad,gujarat
Renault,Kwid,2019,482684,49326,Petrol,Automatic,1.0,Hatchback,4,4.0,Gandhinagar,gujarat
Renault,Kiger,2018,659326,44555,Diesel,Manual,1.2,Sedan,5,4.0,Bhavnagar,gujarat
Maruti Suzuki,Dzire,2017,741645,86605,Petrol,Manual,1.2,Sedan,5,3.6,Ahmedabad,gujarat
Maruti Suzuki,Brezza,2015,387153,94732,Petrol,Manual,1.2,Sedan,5,3.4,Vadodara,gujarat
Mahindra,XUV700,2024,1685694,5621,Petrol,Manual,2.2,SUV,7,4.7,Vadodara,gujarat
Ford,EcoSport,2021,836483,19297,Diesel,Automatic,1.5,Sedan,5,3.5,Surat,gujarat
Renault,Kiger,2018,583116,42849,Diesel,Automatic,1.2,Sedan,5,4.6,Surat,gujarat
Kia,Carnival,2014,552765,132660,Diesel,Manual,1.2,MPV,8,3.6,Bhavnagar,gujarat
BMW,3 Series,2018,667510,36486,Petrol,Manual,1.2,Sedan,4,4.0,Jamnagar,gujarat
Hyundai,Grand i10,2023,913048,10483,Petrol,Manual,1.2,Sedan,5,3.7,Rajkot,gujarat
Hyundai,Venue,2024,1202437,9921,Diesel,Manual,1.5,Sedan,5,3.7,Bhavnagar,gujarat
Ford,Figo,2019,689947,30138,Diesel,Manual,1.0,Sedan,5,4.7,Jamnagar,gujarat
Toyota,Urban Cruiser,2024,1258369,1168,Petrol,Manual,2.0,Sedan,5,3.6,Vadodara,gujarat
BMW,3 Series,2016,400600,98313,Diesel,Manual,1.2,Sedan,4,3.8,Surat,gujarat
Maruti Suzuki,Baleno,2023,831935,8844,CNG,Automatic,1.2,Sedan,5,3.3,Ahmedabad,gujarat
Hyundai,i20,2019,813822,60942,Diesel,Manual,1.2,Hatchback,5,3.5,Surat,gujarat
Hyundai,Exter,2024,970062,5068,Petrol,Manual,1.5,Sedan,5,3.3,Bhavnagar,gujarat
Tata,Nexon,2017,1349284,81771,Petrol,Automatic,1.2,SUV,5,3.3,Jamnagar,gujarat
Renault,Kwid,2021,565425,34581,Diesel,Automatic,1.0,Hatchback,4,4.8,Rajkot,gujarat
Renault,Kwid,2024,480705,1467,Petrol,Manual,1.0,Hatchback,4,3.0,Gandhinagar,gujarat
Tata,Punch EV,2024,1005136,7687,Electric,Automatic,0.0,Sedan,5,3.0,Rajkot,gujarat
